key,value,date
Fatalities,0,1965
Injured,0,1965
Fatalities,22,1966
Injured,33,1966
Fatalities,0,1967
Injured,0,1967
Fatalities,0,1968
Injured,0,1968
Fatalities,0,1969
Injured,0,1969
Fatalities,0,1970
Injured,0,1970
Fatalities,2,1971
Injured,4,1971
Fatalities,10,1972
Injured,13,1972
Fatalities,0,1973
Injured,0,1973
Fatalities,4,1974
Injured,10,1974
Fatalities,0,1975
Injured,0,1975
Fatalities,8,1976
Injured,9,1976
Fatalities,0,1977
Injured,0,1977
Fatalities,0,1978
Injured,0,1978
Fatalities,4,1979
Injured,14,1979
Fatalities,0,1980
Injured,0,1980
Fatalities,0,1981
Injured,0,1981
Fatalities,9,1982
Injured,3,1982
Fatalities,14,1983
Injured,4,1983
Fatalities,31,1984
Injured,32,1984
Fatalities,1,1985
Injured,3,1985
Fatalities,17,1986
Injured,13,1986
Fatalities,6,1987
Injured,14,1987
Fatalities,16,1988
Injured,26,1988
Fatalities,19,1989
Injured,43,1989
Fatalities,12,1990
Injured,6,1990
Fatalities,44,1991
Injured,26,1991
Fatalities,11,1992
Injured,20,1992
Fatalities,25,1993
Injured,43,1993
Fatalities,12,1994
Injured,31,1994
Fatalities,12,1995
Injured,3,1995
Fatalities,9,1996
Injured,2,1996
Fatalities,16,1997
Injured,19,1997
Fatalities,15,1998
Injured,44,1998
Fatalities,45,1999
Injured,56,1999
Fatalities,7,2000
Injured,0,2000
Fatalities,8,2001
Injured,17,2001
Fatalities,3,2002
Injured,3,2002
Fatalities,14,2003
Injured,8,2003
Fatalities,11,2004
Injured,9,2004
Fatalities,21,2005
Injured,13,2005
Fatalities,29,2006
Injured,19,2006
Fatalities,65,2007
Injured,61,2007
Fatalities,28,2008
Injured,26,2008
Fatalities,69,2009
Injured,49,2009
Fatalities,9,2010
Injured,5,2010
Fatalities,29,2011
Injured,37,2011
Fatalities,96,2012
Injured,110,2012
Fatalities,71,2013
Injured,29,2013
Fatalities,43,2014
Injured,71,2014
Fatalities,184,2015
Injured,188,2015
Fatalities,162,2016
Injured,260,2016
Fatalities,104,2017
Injured,558,2017
Fatalities,0,2018
Injured,0,2018
